file,class,type,wmc,lcom,loc,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\config\ErrorProperties.java,com.taobao.arthas.core.config.ErrorProperties$IncludeStacktrace,enum,0,0,4,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\util\TokenUtilsTest.java,com.taobao.arthas.core.util.TokenUtilsTest,class,5,6,51,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\basic1000\HelpCommand.java,com.taobao.arthas.core.command.basic1000.HelpCommand,class,30,53,112,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\StackView.java,com.taobao.arthas.core.command.view.StackView,class,2,0,16,,,,WMC,LCOM,LOC
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\matcher\GroupMatcher.java,com.taobao.arthas.core.util.matcher.GroupMatcher,interface,1,0,43,,,Calculated Value,12.19716,39.85953608,51.97036082
E:\OOD\projectsnew\arthas-master\memorycompiler\src\main\java\com\taobao\arthas\compiler\CustomJavaFileObject.java,com.taobao.arthas.compiler.CustomJavaFileObject,class,17,110,56,,,Standard Value ,43.84,78.34,
E:\OOD\projectsnew\arthas-master\agent\src\main\java\com\taobao\arthas\agent334\AgentBootstrap.java,com.taobao.arthas.agent334.AgentBootstrap,class,29,24,144,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\system\ExecStatus.java,com.taobao.arthas.core.shell.system.ExecStatus,enum,0,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\MemoryView.java,com.taobao.arthas.core.command.view.MemoryView$MemoryEntry,innerclass,17,1,50,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\ArthasEnvironment.java,com.taobao.arthas.core.env.ArthasEnvironment$Anonymous2,anonymous,2,0,10,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\ArthasEnvironment.java,com.taobao.arthas.core.env.ArthasEnvironment$Anonymous1,anonymous,2,0,10,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\MBeanView.java,com.taobao.arthas.core.command.view.MBeanView,class,41,66,172,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\PropertiesPropertySource.java,com.taobao.arthas.core.env.PropertiesPropertySource,class,3,3,13,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\JsonUtils.java,com.taobao.arthas.core.util.JsonUtils,class,15,0,65,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\TimeTunnelView.java,com.taobao.arthas.core.command.view.TimeTunnelView,class,8,0,47,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\MethodVO.java,com.taobao.arthas.core.command.model.MethodVO,class,20,170,72,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\distribution\impl\SharingResultDistributorImpl.java,com.taobao.arthas.core.distribution.impl.SharingResultDistributorImpl$SharingResultConsumerImpl,innerclass,16,43,61,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\impl\http\session\HttpSession.java,com.taobao.arthas.core.shell.term.impl.http.session.HttpSession,interface,11,55,13,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-common\src\main\java\com\alibaba\arthas\tunnel\common\URIConstans.java,com.alibaba.arthas.tunnel.common.URIConstans,class,0,0,11,,,,,,
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\concurrent\ConcurrentWeakKeyHashMap.java,com.taobao.arthas.common.concurrent.ConcurrentWeakKeyHashMap$EntryIterator,innerclass,1,0,6,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\GetStaticModel.java,com.taobao.arthas.core.command.model.GetStaticModel,class,14,69,51,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\impl\http\api\HttpApiHandler.java,com.taobao.arthas.core.shell.term.impl.http.api.HttpApiHandler$ApiTerm,innerclass,17,130,51,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\app\configuration\EmbeddedRedisConfiguration.java,com.alibaba.arthas.tunnel.server.app.configuration.EmbeddedRedisConfiguration,class,2,0,11,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\VmToolView.java,com.taobao.arthas.core.command.view.VmToolView,class,3,0,13,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\handlers\NoOpHandler.java,com.taobao.arthas.core.shell.handlers.NoOpHandler,class,3,0,8,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\impl\ShellImpl.java,com.taobao.arthas.core.shell.impl.ShellImpl$ShellJobHandler,innerclass,9,3,31,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\session\impl\SessionImpl.java,com.taobao.arthas.core.shell.session.impl.SessionImpl,class,24,0,78,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\TraceEntity.java,com.taobao.arthas.core.command.monitor200.TraceEntity,class,3,1,15,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\session\Session.java,com.taobao.arthas.core.shell.session.Session,interface,19,171,31,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\command\internal\WordCountHandler.java,com.taobao.arthas.core.shell.command.internal.WordCountHandler,class,8,0,32,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\matcher\RegexMatcher.java,com.taobao.arthas.core.util.matcher.RegexMatcher,class,4,0,9,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\JvmCommand.java,com.taobao.arthas.core.command.monitor200.JvmCommand,class,24,72,136,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\command\internal\PlainTextHandler.java,com.taobao.arthas.core.shell.command.internal.PlainTextHandler,class,2,1,9,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\term\impl\http\session\HttpSessionManager.java,com.taobao.arthas.core.shell.term.impl.http.session.HttpSessionManager,class,13,20,54,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\convert\ConfigurableConversionService.java,com.taobao.arthas.core.env.convert.ConfigurableConversionService,interface,0,0,2,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\Base64Model.java,com.taobao.arthas.core.command.model.Base64Model,class,5,4,17,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\HistoryModel.java,com.taobao.arthas.core.command.model.HistoryModel,class,4,4,14,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\ArthasEnvironment.java,com.taobao.arthas.core.env.ArthasEnvironment,class,16,13,79,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\command\CommandRegistry.java,com.taobao.arthas.core.shell.command.CommandRegistry,class,7,9,25,,,,,,
E:\OOD\projectsnew\arthas-master\memorycompiler\src\test\java\com\taobao\arthas\compiler\PackageInternalsFinderTest.java,com.taobao.arthas.compiler.PackageInternalsFinderTest,class,2,1,12,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\basic1000\Base64Command.java,com.taobao.arthas.core.command.basic1000.Base64Command,class,23,10,103,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-server\src\test\java\com\alibaba\arthas\tunnel\server\app\ArthasTunnelApplicationTest.java,com.alibaba.arthas.tunnel.server.app.ArthasTunnelApplicationTest,class,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\FileUtils.java,com.taobao.arthas.common.FileUtils,class,13,21,53,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\UserStatUtil.java,com.taobao.arthas.core.util.UserStatUtil$RemoteJob,innerclass,11,0,44,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\util\LongStackTest.java,com.taobao.arthas.core.util.LongStackTest,class,5,10,56,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\model\JvmItemVO.java,com.taobao.arthas.core.command.model.JvmItemVO,class,8,0,32,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\ThreadLocalRandom.java,com.taobao.arthas.core.util.ThreadLocalRandom$Anonymous1,anonymous,1,0,6,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\ThreadLocalRandom.java,com.taobao.arthas.core.util.ThreadLocalRandom$Anonymous2,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\convert\StringToInetAddressConverter.java,com.taobao.arthas.core.env.convert.StringToInetAddressConverter,class,2,0,10,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-server\src\main\java\com\alibaba\arthas\tunnel\server\app\configuration\ArthasProperties.java,com.alibaba.arthas.tunnel.server.app.configuration.ArthasProperties$Server,innerclass,10,35,37,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\server\ArthasBootstrap.java,com.taobao.arthas.core.server.ArthasBootstrap$Anonymous1,anonymous,1,0,7,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\handlers\term\CloseHandlerWrapper.java,com.taobao.arthas.core.shell.handlers.term.CloseHandlerWrapper,class,2,0,9,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\server\ArthasBootstrap.java,com.taobao.arthas.core.server.ArthasBootstrap$Anonymous2,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\memorycompiler\src\main\java\com\taobao\arthas\compiler\PackageInternalsFinder.java,com.taobao.arthas.compiler.PackageInternalsFinder,class,18,11,74,,,,,,
E:\OOD\projectsnew\arthas-master\common\src\main\java\com\taobao\arthas\common\ReflectException.java,com.taobao.arthas.common.ReflectException,class,2,0,11,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\express\Express.java,com.taobao.arthas.core.command.express.Express,interface,5,10,7,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\advisor\ArthasMethod.java,com.taobao.arthas.core.advisor.ArthasMethod,class,35,10,143,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\PathTraceAdviceListener.java,com.taobao.arthas.core.command.monitor200.PathTraceAdviceListener,class,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\env\PropertyPlaceholderHelper.java,com.taobao.arthas.core.env.PropertyPlaceholderHelper$PlaceholderResolver,interface,1,0,3,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\view\ViewRenderUtil.java,com.taobao.arthas.core.command.view.ViewRenderUtil,class,23,15,108,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\shell\handlers\shell\CloseHandler.java,com.taobao.arthas.core.shell.handlers.shell.CloseHandler,class,2,0,9,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\util\reflect\ArthasReflectUtils.java,com.taobao.arthas.core.util.reflect.ArthasReflectUtils,class,38,28,161,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\GroovyAdviceListener.java,com.taobao.arthas.core.command.monitor200.GroovyAdviceListener,class,6,0,41,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\ForwardClientSocketClientHandler.java,com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler$Anonymous1,anonymous,1,0,6,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\main\java\com\taobao\arthas\core\command\monitor200\DashboardCommand.java,com.taobao.arthas.core.command.monitor200.DashboardCommand,class,18,35,170,,,,,,
E:\OOD\projectsnew\arthas-master\core\src\test\java\com\taobao\arthas\core\view\ObjectViewTest.java,com.taobao.arthas.core.view.ObjectViewTest$NestedClass,innerclass,2,0,11,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\ForwardClientSocketClientHandler.java,com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler$Anonymous3,anonymous,1,0,5,,,,,,
E:\OOD\projectsnew\arthas-master\tunnel-client\src\main\java\com\alibaba\arthas\tunnel\client\ForwardClientSocketClientHandler.java,com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler$Anonymous2,anonymous,1,0,7,,,,,,
