file,class,type,wmc,lcom,loc,,,,,,
E:\OOD\projectsnew\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\constants\PushConstants.java,com.alibaba.nacos.naming.constants.PushConstants,class,0,0,8,,,,,,
E:\OOD\projectsnew\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\InstancePatchObject.java,com.alibaba.nacos.naming.core.InstancePatchObject,class,12,52,47,,,,,,
E:\OOD\projectsnew\nacos-develop\api\src\main\java\com\alibaba\nacos\api\naming\pojo\healthcheck\impl\Http.java,com.alibaba.nacos.api.naming.pojo.healthcheck.impl.Http,class,18,15,65,,,,WMC,lcom,loc
E:\OOD\projectsnew\nacos-develop\config\src\main\java\com\alibaba\nacos\config\server\controller\ConfigOpsController.java,com.alibaba.nacos.config.server.controller.ConfigOpsController,class,11,8,62,,,,,,
E:\OOD\projectsnew\nacos-develop\client\src\test\java\com\alibaba\nacos\client\naming\cache\ConcurrentDiskUtilTest.java,com.alibaba.nacos.client.naming.cache.ConcurrentDiskUtilTest,class,3,3,25,,,Calculated Mean Value,8.926122,19.61714286,46.06285714
E:\OOD\projectsnew\nacos-develop\config\src\main\java\com\alibaba\nacos\config\server\controller\ClientMetricsController.java,com.alibaba.nacos.config.server.controller.ClientMetricsController$Anonymous2,anonymous,4,3,15,,,Standard Value,49,78.34,
E:\OOD\projectsnew\nacos-develop\config\src\main\java\com\alibaba\nacos\config\server\controller\ClientMetricsController.java,com.alibaba.nacos.config.server.controller.ClientMetricsController$Anonymous1,anonymous,0,0,2,,,,,,
E:\OOD\projectsnew\nacos-develop\config\src\main\java\com\alibaba\nacos\config\server\model\ConfigInfoBase.java,com.alibaba.nacos.config.server.model.ConfigInfoBase,class,52,45,178,,,,,,
E:\OOD\projectsnew\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\monitor\PerformanceLoggerThread.java,com.alibaba.nacos.naming.monitor.PerformanceLoggerThread$PerformanceLogTask,innerclass,5,1,41,,,,,,
E:\OOD\projectsnew\nacos-develop\common\src\main\java\com\alibaba\nacos\common\http\client\InterceptingHttpClientRequest.java,com.alibaba.nacos.common.http.client.InterceptingHttpClientRequest,class,5,0,20,,,,,,
E:\OOD\projectsnew\nacos-develop\auth\src\main\java\com\alibaba\nacos\auth\AbstractProtocolAuthService.java,com.alibaba.nacos.auth.AbstractProtocolAuthService,class,10,3,40,,,,,,
E:\OOD\projectsnew\nacos-develop\core\src\main\java\com\alibaba\nacos\core\cluster\MemberMetaDataConstants.java,com.alibaba.nacos.core.cluster.MemberMetaDataConstants,class,0,0,11,,,,,,
E:\OOD\projectsnew\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\core\v2\pojo\InstancePublishInfo.java,com.alibaba.nacos.naming.core.v2.pojo.InstancePublishInfo,class,21,12,67,,,,,,
E:\OOD\projectsnew\nacos-develop\config\src\main\java\com\alibaba\nacos\config\server\exception\NacosConfigException.java,com.alibaba.nacos.config.server.exception.NacosConfigException,class,5,10,16,,,,,,
E:\OOD\projectsnew\nacos-develop\client\src\test\java\com\alibaba\nacos\client\naming\NacosNamingServiceTest.java,com.alibaba.nacos.client.naming.NacosNamingServiceTest,class,74,0,526,,,,,,
E:\OOD\projectsnew\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\pojo\ServiceNameView.java,com.alibaba.nacos.naming.pojo.ServiceNameView,class,4,2,16,,,,,,
E:\OOD\projectsnew\nacos-develop\config\src\main\java\com\alibaba\nacos\config\server\manager\TaskManagerMBean.java,com.alibaba.nacos.config.server.manager.TaskManagerMBean,interface,1,0,3,,,,,,
E:\OOD\projectsnew\nacos-develop\naming\src\main\java\com\alibaba\nacos\naming\monitor\MetricsMonitor.java,com.alibaba.nacos.naming.monitor.MetricsMonitor,class,41,0,181,,,,,,
E:\OOD\projectsnew\nacos-develop\config\src\main\java\com\alibaba\nacos\config\server\service\capacity\GroupCapacityPersistService.java,com.alibaba.nacos.config.server.service.capacity.GroupCapacityPersistService$Anonymous1,anonymous,1,0,8,,,,,,
E:\OOD\projectsnew\nacos-develop\core\src\test\java\com\alibaba\nacos\core\remote\ClientConnectionEventListenerRegistryTest.java,com.alibaba.nacos.core.remote.ClientConnectionEventListenerRegistryTest$MockClientConnectionEventListener,innerclass,2,1,8,,,,,,
E:\OOD\projectsnew\nacos-develop\api\src\main\java\com\alibaba\nacos\api\remote\request\ConnectionSetupRequest.java,com.alibaba.nacos.api.remote.request.ConnectionSetupRequest,class,9,28,32,,,,,,
