file,class,method,variable,usage
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,setAppName/1[java.lang.String],setAppName,2
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,"addService/2[java.lang.String,com.topjohnwu.superuser.internal.IBinder]",addService,4
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,"attachBaseContext/2[java.lang.Object,com.topjohnwu.superuser.internal.Context]",attachBaseContext,2
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\RootServiceServer.java,com.topjohnwu.superuser.internal.RootServiceServer$ServiceRecord,ServiceRecord/1[com.topjohnwu.superuser.ipc.RootService],service,1
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\StreamGobbler.java,com.topjohnwu.superuser.internal.StreamGobbler$OUT,call/0,NO_RESULT_CODE,2
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\UiThreadHandler.java,com.topjohnwu.superuser.internal.UiThreadHandler,runAndWait/1[java.lang.Runnable],handler,1
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\UiThreadHandler.java,com.topjohnwu.superuser.internal.UiThreadHandler,run/1[java.lang.Runnable],handler,1
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\WaitRunnable.java,com.topjohnwu.superuser.internal.WaitRunnable,run/0,r,2
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\WaitRunnable.java,com.topjohnwu.superuser.internal.WaitRunnable,waitUntilDone/0,r,1
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\WaitRunnable.java,com.topjohnwu.superuser.internal.WaitRunnable,WaitRunnable/1[java.lang.Runnable],r,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"write/3[byte[],int,int]",readOnly,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"write/3[byte[],int,int]",fileOff,3
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,readLine/0,fileOff,3
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,readLine/0,eof,3
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,setLength/1[long],file,3
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,setLength/1[long],TAG,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,skipBytes/1[int],fileOff,4
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"ShellIO/2[com.topjohnwu.superuser.io.SuFile,java.lang.String]",file,8
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"ShellIO/2[com.topjohnwu.superuser.io.SuFile,java.lang.String]",fileOff,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"ShellIO/2[com.topjohnwu.superuser.io.SuFile,java.lang.String]",readOnly,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,seek/1[long],fileOff,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,seek/1[long],eof,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"write0/3[byte[],int,int]",file,3
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"write0/3[byte[],int,int]",fileOff,3
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"write0/3[byte[],int,int]",TAG,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"read/3[byte[],int,int]",fileOff,7
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"read/3[byte[],int,int]",eof,2
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,length/0,file,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"alignedRead/5[byte[],int,int,int,int]",file,2
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"alignedRead/5[byte[],int,int,int,int]",TAG,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"alignedRead/5[byte[],int,int,int,int]",eof,2
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,"get/2[com.topjohnwu.superuser.io.SuFile,java.lang.String]",file,4
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\ShellIO.java,com.topjohnwu.superuser.internal.ShellIO,getFilePointer/0,fileOff,1
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\OpenFile.java,com.topjohnwu.superuser.internal.OpenFile,"pread/2[int,long]",read,1
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\OpenFile.java,com.topjohnwu.superuser.internal.OpenFile,"pread/2[int,long]",FORCE_NO_SPLICE,1
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\OpenFile.java,com.topjohnwu.superuser.internal.OpenFile,"pread/2[int,long]",write,5
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\OpenFile.java,com.topjohnwu.superuser.internal.OpenFile,"pread/2[int,long]",fd,5
E:\OOD\projectsnew\libsu-master\nio\src\main\java\com\topjohnwu\superuser\internal\OpenFile.java,com.topjohnwu.superuser.internal.OpenFile,"lseek/2[long,int]",fd,1
