file,class,method,variable,usage
E:\OOD\projectsnew\libsu-master\core\src\main\java\com\topjohnwu\superuser\internal\ShellInputSource.java,com.topjohnwu.superuser.internal.ShellInputSource,serve/1[java.io.OutputStream],out,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,setAppName/1[java.lang.String],e,1
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,setAppName/1[java.lang.String],name,1
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,"addService/2[java.lang.String,com.topjohnwu.superuser.internal.IBinder]",e,1
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,"addService/2[java.lang.String,com.topjohnwu.superuser.internal.IBinder]",service,2
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,"addService/2[java.lang.String,com.topjohnwu.superuser.internal.IBinder]",name,2
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,"attachBaseContext/2[java.lang.Object,com.topjohnwu.superuser.internal.Context]",ignored,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,"attachBaseContext/2[java.lang.Object,com.topjohnwu.superuser.internal.Context]",context,1
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,"attachBaseContext/2[java.lang.Object,com.topjohnwu.superuser.internal.Context]",wrapper,2
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,(initializer 1),ignored,0
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,(initializer 1),e,1
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,(initializer 1),sm,2
E:\OOD\projectsnew\libsu-master\service\src\main\java\com\topjohnwu\superuser\internal\HiddenAPIs.java,com.topjohnwu.superuser.internal.HiddenAPIs,(initializer 1),ddm,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\IOFactory.java,com.topjohnwu.superuser.internal.IOFactory,"raf/2[java.io.File,java.lang.String]",mode,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\IOFactory.java,com.topjohnwu.superuser.internal.IOFactory,"raf/2[java.io.File,java.lang.String]",file,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\IOFactory.java,com.topjohnwu.superuser.internal.IOFactory,fifoIn/1[com.topjohnwu.superuser.io.SuFile],file,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\IOFactory.java,com.topjohnwu.superuser.internal.IOFactory,"shellIO/2[com.topjohnwu.superuser.io.SuFile,java.lang.String]",mode,4
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\IOFactory.java,com.topjohnwu.superuser.internal.IOFactory,"shellIO/2[com.topjohnwu.superuser.io.SuFile,java.lang.String]",file,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\IOFactory.java,com.topjohnwu.superuser.internal.IOFactory,"fifoOut/2[com.topjohnwu.superuser.io.SuFile,boolean]",file,1
E:\OOD\projectsnew\libsu-master\io\src\main\java\com\topjohnwu\superuser\internal\IOFactory.java,com.topjohnwu.superuser.internal.IOFactory,"fifoOut/2[com.topjohnwu.superuser.io.SuFile,boolean]",append,1
