file,class,method,variable,usage
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,insert/1[com.geekq.admin.entity.IpLog],record,0
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,selectByPrimaryKey/1[java.lang.Long],id,0
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,query/1[com.geekq.admin.query.IpLogQueryObject],qo,0
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,queryForCount/1[com.geekq.admin.query.IpLogQueryObject],qo,0
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,deleteByPrimaryKey/1[java.lang.Long],id,0
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-service\src\main\java\com\geekq\admin\mapper\IpLogMapper.java,com.geekq.admin.mapper.IpLogMapper,updateByPrimaryKey/1[com.geekq.admin.entity.IpLog],record,0
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\GlobalParamAdvice.java,com.geekq.miaosha.interceptor.GlobalParamAdvice,initBinder/1[com.geekq.miaosha.interceptor.WebDataBinder],binder,0
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\GlobalParamAdvice.java,com.geekq.miaosha.interceptor.GlobalParamAdvice,addAttributes/1[com.geekq.miaosha.interceptor.Model],model,0
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/4[java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse,com.geekq.miaosha.controller.HttpServletRequest]",passWord,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/4[java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse,com.geekq.miaosha.controller.HttpServletRequest]",result,4
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/4[java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse,com.geekq.miaosha.controller.HttpServletRequest]",request,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/4[java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse,com.geekq.miaosha.controller.HttpServletRequest]",registerInfo,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/4[java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse,com.geekq.miaosha.controller.HttpServletRequest]",response,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,"register/4[java.lang.String,java.lang.String,com.geekq.miaosha.controller.HttpServletResponse,com.geekq.miaosha.controller.HttpServletRequest]",userName,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,checkUsername/1[java.lang.String],result,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,checkUsername/1[java.lang.String],nickNameCount,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,checkUsername/1[java.lang.String],username,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\controller\RegisterController.java,com.geekq.miaosha.controller.RegisterController,loginIndex/1[com.geekq.miaosha.controller.Model],model,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-common\src\main\java\com\geekq\miasha\enums\MessageStatus.java,com.geekq.miasha.enums.MessageStatus$messageType,messageType/1[java.lang.String],message,2
E:\OOD\projectsnew\miaosha-master\miaosha-admin\miaosha-admin-api\src\main\java\com\geekq\admin\entity\SystemDictionaryItem.java,com.geekq.admin.entity.SystemDictionaryItem,getJsonString/0,m,7
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getUser/2[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse]",request,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getUser/2[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse]",response,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getUser/2[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse]",paramToken,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getUser/2[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse]",cookieToken,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getUser/2[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse]",token,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",request,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",handler,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",accessLimit,4
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",seconds,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",hm,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",response,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",needLogin,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",count,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",ak,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",user,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",maxCount,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"preHandle/3[com.geekq.miaosha.interceptor.HttpServletRequest,com.geekq.miaosha.interceptor.HttpServletResponse,java.lang.Object]",key,4
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getCookieValue/2[com.geekq.miaosha.interceptor.HttpServletRequest,java.lang.String]",request,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getCookieValue/2[com.geekq.miaosha.interceptor.HttpServletRequest,java.lang.String]",cookie,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getCookieValue/2[com.geekq.miaosha.interceptor.HttpServletRequest,java.lang.String]",cookiName,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"getCookieValue/2[com.geekq.miaosha.interceptor.HttpServletRequest,java.lang.String]",cookies,3
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"render/2[com.geekq.miaosha.interceptor.HttpServletResponse,com.geekq.miasha.enums.enums.ResultStatus]",str,1
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"render/2[com.geekq.miaosha.interceptor.HttpServletResponse,com.geekq.miasha.enums.enums.ResultStatus]",response,2
E:\OOD\projectsnew\miaosha-master\miaosha-v2\miaosha-web\src\main\java\com\geekq\miaosha\interceptor\LoginInterceptor.java,com.geekq.miaosha.interceptor.LoginInterceptor,"render/2[com.geekq.miaosha.interceptor.HttpServletResponse,com.geekq.miasha.enums.enums.ResultStatus]",cm,1
