file,class,method,variable,usage
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,shouldApply/1[java.lang.String],state,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,HourDisplayBugWorkaround/1[com.henninghall.date_picker.State],state,3
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.rn069.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate,maybeLoadOtherSoLibraries/0,sIsSoLibraryLoaded,2
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,isAccessibilityEnabled/0,systemManager,2
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,sendEvent/1[com.henninghall.date_picker.ui.AccessibilityEvent],systemManager,3
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,getLocale/0,mLocale,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,shouldAllowScroll/1[com.henninghall.date_picker.ui.View],systemManager,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,hasAccessibilityFeatureTypeEnabled/1[int],systemManager,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,setLocale/1[java.util.Locale],mLocale,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheelFunctions\TextColor.java,com.henninghall.date_picker.wheelFunctions.TextColor,TextColor/1[java.lang.String],color,3
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheelFunctions\TextColor.java,com.henninghall.date_picker.wheelFunctions.TextColor,apply/1[com.henninghall.date_picker.wheels.Wheel],color,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\Formats.java,com.henninghall.date_picker.Formats,"get/2[java.lang.String,com.henninghall.date_picker.Formats.Format]",map,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\PickerWrapper.java,com.henninghall.date_picker.ui.PickerWrapper,removeAll/0,view,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\PickerWrapper.java,com.henninghall.date_picker.ui.PickerWrapper,PickerWrapper/1[com.henninghall.date_picker.ui.View],view,2
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\PickerWrapper.java,com.henninghall.date_picker.ui.PickerWrapper,addPicker/1[com.henninghall.date_picker.ui.View],view,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\PickerWrapper.java,com.henninghall.date_picker.ui.PickerWrapper,"addPicker/2[com.henninghall.date_picker.ui.View,int]",view,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\DateBoundary.java,com.henninghall.date_picker.DateBoundary,"DateBoundary/2[java.util.TimeZone,java.lang.String]",date,4
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\DateBoundary.java,com.henninghall.date_picker.DateBoundary,get/0,date,1
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\androidTest\java\com\rn069\DetoxTest.java,com.rn069.DetoxTest,runDetoxTests/0,mActivityRule,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheels\DayWheel.java,com.henninghall.date_picker.wheels.DayWheel,getEndCal/0,defaultNumberOfDays,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheels\DayWheel.java,com.henninghall.date_picker.wheels.DayWheel,toDisplayValue/1[java.lang.String],displayValues,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheels\DayWheel.java,com.henninghall.date_picker.wheels.DayWheel,toDisplayValue/1[java.lang.String],todayValue,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheels\DayWheel.java,com.henninghall.date_picker.wheels.DayWheel,getValues/0,displayValues,2
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheels\DayWheel.java,com.henninghall.date_picker.wheels.DayWheel,getValues/0,todayValue,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheels\DayWheel.java,com.henninghall.date_picker.wheels.DayWheel,getStartCal/0,defaultNumberOfDays,1
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\MainApplication.java,com.rn069.MainApplication,getReactNativeHost/0,mReactNativeHost,1
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\MainApplication.java,com.rn069.MainApplication,getReactNativeHost/0,mNewArchitectureNativeHost,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,onDetachedFromWindow/0,handler,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,setOnValueChangedListener/1[com.henninghall.date_picker.pickers.Picker.OnValueChangeListener],onValueChangedListener,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,isSpinning/0,state,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,isSpinning/0,isAnimating,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,smoothScrollToValue/1[int],handler,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,smoothScrollToValue/1[int],isAnimating,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,setOnValueChangeListenerInScrolling/1[com.henninghall.date_picker.pickers.Picker.OnValueChangeListenerInScrolling],listenerInScrolling,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,sendEventIfStopped/1[int],state,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,"changeValueByOne/3[boolean,int,boolean]",handler,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,sendEventIn500ms/0,handler,1
E:\OOD\projectsnew\react-native-date-picker-master\examples\detox\android\app\src\androidTest\java\com\example\DetoxTest.java,com.example.DetoxTest,runDetoxTests/0,mActivityRule,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheels\HourWheel.java,com.henninghall.date_picker.wheels.HourWheel,"HourWheel/2[com.henninghall.date_picker.pickers.Picker,com.henninghall.date_picker.State]",hourDisplayAdjustment,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheels\HourWheel.java,com.henninghall.date_picker.wheels.HourWheel,toDisplayValue/1[java.lang.String],hourDisplayAdjustment,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\pickers\IosClone.java,com.henninghall.date_picker.pickers.IosClone,setOnValueChangeListenerInScrolling/1[com.henninghall.date_picker.pickers.Picker.OnValueChangeListenerInScrolling],mOnValueChangeListenerInScrolling,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheelFunctions\AddOnChangeListener.java,com.henninghall.date_picker.wheelFunctions.AddOnChangeListener,AddOnChangeListener/1[com.henninghall.date_picker.ui.WheelChangeListener],onChangeListener,3
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\androidTest\java\com\rn069\TestButlerProbe.java,com.rn069.TestButlerProbe,assertReadyIfInstalled/0,LOG_TAG,3
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\androidTest\java\com\rn069\TestButlerProbe.java,com.rn069.TestButlerProbe,isTestButlerServiceInstalled/0,TEST_BUTLER_PACKAGE_NAME,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getMaximumDate/0,maximumDateProp,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getDividerHeight/0,dividerHeightProp,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getMinimumDate/0,minimumDateProp,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getHeight/0,heightProp,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,State/0,derived,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getTextColor/0,textColorProp,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getFadeToColor/0,fadeToColorProp,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getVariant/0,variantProp,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getProp/1[java.lang.String],props,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,setLastSelectedDate/1[java.util.Calendar],lastSelectedDate,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getTimeZone/0,utcProp,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getIsoDate/0,dateProp,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State,getLocaleLanguageTag/0,localeProp,1
