file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\props\HeightProp.java,com.henninghall.date_picker.props.HeightProp,toValue/1[com.henninghall.date_picker.props.Dynamic],false,10,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,adjust/1[java.lang.String],false,29,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,2,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,adjustValueIfNecessary/1[java.lang.String],false,33,1,3,1,2,2,2,4,2,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,shouldApply/1[java.lang.String],false,23,1,2,1,1,3,2,5,3,0,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,6,2,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,HourDisplayBugWorkaround/1[com.henninghall.date_picker.State],true,19,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\Emitter.java,com.henninghall.date_picker.Emitter,deviceEventEmitter/0,false,18,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\Emitter.java,com.henninghall.date_picker.Emitter,"onDateChange/3[java.util.Calendar,java.lang.String,com.henninghall.date_picker.View]",false,22,4,3,1,2,1,6,7,0,2,3,6,1,1,0,0,0,0,3,0,2,0,0,0,0,0,11,9,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\Emitter.java,com.henninghall.date_picker.Emitter,eventEmitter/0,false,14,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,false
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\MainApplicationReactNativeHost.java,com.rn069.newarchitecture.MainApplicationReactNativeHost$Anonymous1$Anonymous2,getJSIModuleProvider/0,false,90,7,1,0,1,1,4,8,1,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,1,0,false
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\MainApplicationReactNativeHost.java,com.rn069.newarchitecture.MainApplicationReactNativeHost$Anonymous1$Anonymous2,getJSIModuleType/0,false,85,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\wheelFunctions\AddOnChangeListener.java,com.henninghall.date_picker.wheelFunctions.AddOnChangeListener$Anonymous1,onValueChange/0,false,21,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.rn069.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate,canCreateTurboModule/1[java.lang.String],false,30,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,256,0,false
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.rn069.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate,initHybrid/0,false,28,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,260,0,false
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.rn069.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate,"MainApplicationTurboModuleManagerDelegate/2[com.rn069.newarchitecture.modules.ReactApplicationContext,java.util.List<com.rn069.newarchitecture.modules.ReactPackage>]",true,24,2,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,false
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.rn069.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate,maybeLoadOtherSoLibraries/0,false,40,0,0,0,0,2,1,6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,10,36,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\State.java,com.henninghall.date_picker.State$Anonymous1,(initializer 1),false,44,0,1,0,1,1,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,"buildEvent/2[com.henninghall.date_picker.ui.View,int]",false,164,2,1,1,0,1,7,6,1,1,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,9,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,isAccessibilityEnabled/0,false,85,0,1,1,0,2,1,6,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,9,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,isSpokenFeedbackEnabled/0,false,96,1,2,1,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,true
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,"sendValueChangedEvent/2[com.henninghall.date_picker.pickers.Picker,int]",false,143,3,5,1,4,1,6,6,0,2,2,6,3,1,0,0,0,0,0,0,2,0,0,0,0,0,20,9,0,true
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,"announce/2[java.lang.String,com.henninghall.date_picker.ui.View]",false,118,2,2,0,2,3,3,6,1,0,2,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,54,9,0,true
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,"pickerValueToDisplayedValue/2[com.henninghall.date_picker.pickers.Picker,int]",false,129,1,3,2,1,2,2,8,2,2,2,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,11,10,0,true
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,sendEvent/1[com.henninghall.date_picker.ui.AccessibilityEvent],false,172,1,1,1,0,3,2,6,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,9,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,getLocale/0,false,30,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,"setRoleToSlider/2[com.henninghall.date_picker.pickers.Picker,com.henninghall.date_picker.ui.AccessibilityNodeInfo]",false,183,3,2,1,1,2,5,15,0,2,2,5,1,3,0,0,0,0,3,1,2,0,1,0,0,0,35,9,0,true
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,shouldAllowScroll/1[com.henninghall.date_picker.ui.View],false,41,1,1,1,0,3,2,9,3,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,46,9,0,true
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,getContentDescriptionLabel/1[java.lang.String],false,151,2,3,1,2,1,2,3,1,0,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,6,10,0,false
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,hasAccessibilityFeatureTypeEnabled/1[int],false,103,1,1,1,0,3,2,4,1,1,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,17,10,0,true
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,startAccessibilityDelegate/1[com.henninghall.date_picker.pickers.Picker],false,55,2,2,1,1,1,2,23,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,21,9,0,true
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,setLocale/1[java.util.Locale],false,26,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,false
