file,class,method,variable,usage
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\props\HeightProp.java,com.henninghall.date_picker.props.HeightProp,toValue/1[com.henninghall.date_picker.props.Dynamic],value,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,adjust/1[java.lang.String],displayValue,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,adjustValueIfNecessary/1[java.lang.String],displayValue,3
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,shouldApply/1[java.lang.String],displayValue,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\HourDisplayBugWorkaround.java,com.henninghall.date_picker.HourDisplayBugWorkaround,HourDisplayBugWorkaround/1[com.henninghall.date_picker.State],state,2
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\Emitter.java,com.henninghall.date_picker.Emitter,"onDateChange/3[java.util.Calendar,java.lang.String,com.henninghall.date_picker.View]",date,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\Emitter.java,com.henninghall.date_picker.Emitter,"onDateChange/3[java.util.Calendar,java.lang.String,com.henninghall.date_picker.View]",view,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\Emitter.java,com.henninghall.date_picker.Emitter,"onDateChange/3[java.util.Calendar,java.lang.String,com.henninghall.date_picker.View]",dateString,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\Emitter.java,com.henninghall.date_picker.Emitter,"onDateChange/3[java.util.Calendar,java.lang.String,com.henninghall.date_picker.View]",displayValueString,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\Emitter.java,com.henninghall.date_picker.Emitter,"onDateChange/3[java.util.Calendar,java.lang.String,com.henninghall.date_picker.View]",event,3
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\MainApplicationReactNativeHost.java,com.rn069.newarchitecture.MainApplicationReactNativeHost$Anonymous1$Anonymous2,getJSIModuleProvider/0,reactInstanceManager,1
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\MainApplicationReactNativeHost.java,com.rn069.newarchitecture.MainApplicationReactNativeHost$Anonymous1$Anonymous2,getJSIModuleProvider/0,viewManagerRegistry,1
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\MainApplicationReactNativeHost.java,com.rn069.newarchitecture.MainApplicationReactNativeHost$Anonymous1$Anonymous2,getJSIModuleProvider/0,componentFactory,3
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.rn069.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate,canCreateTurboModule/1[java.lang.String],moduleName,0
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.rn069.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate,"MainApplicationTurboModuleManagerDelegate/2[com.rn069.newarchitecture.modules.ReactApplicationContext,java.util.List<com.rn069.newarchitecture.modules.ReactPackage>]",reactApplicationContext,1
E:\OOD\projectsnew\react-native-date-picker-master\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.rn069.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate,"MainApplicationTurboModuleManagerDelegate/2[com.rn069.newarchitecture.modules.ReactApplicationContext,java.util.List<com.rn069.newarchitecture.modules.ReactPackage>]",packages,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,"buildEvent/2[com.henninghall.date_picker.ui.View,int]",host,2
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,"buildEvent/2[com.henninghall.date_picker.ui.View,int]",eventType,1
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,"buildEvent/2[com.henninghall.date_picker.ui.View,int]",event,3
E:\OOD\projectsnew\react-native-date-picker-master\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java,com.henninghall.date_picker.ui.Accessibility,"sendValueChangedEvent/2[com.henninghall.date_picker.pickers.Picker,int]",newValue,1
